Longitude,Latitude,depth_m, 14.May.15, 19.May.15, 22.May.15, 29.May.15, 5.Jun.15, 11.Jun.15, 17.Jun.15, 18.Jun.15, 19.Jun.15, 26.Jun.15, 27.Jun.15, 2.Jul.15, 10.Jul.15, 16.Jul.15, 24.Jul.15, 30.Jul.15, 7.Aug.15, 14.Aug.15, 20.Aug.15, 28.Aug.15, 3.Sep.15, 10.Sep.15, 16.Sep.15, 24.Sep.15, 1.Oct.15, 8.Oct.15, 15.Oct.15, 23.Oct.15, 30.Oct.15, 5.Nov.15, 12.Nov.15, 19.Nov.15, 1.Dec.15
-9432760,4774600,7.99,49.8543,40.1747,11.1996,44.2657,35.1554,34.7626,65.0846,77.7310,61.0643,29.2059,30.0340,39.7805,66.8111,40.2815,54.1986,57.7648,73.1766,63.9471,47.3638,77.2344,74.1788,82.3423,93.1363,63.7338,86.0285,76.9580,71.5565,66.9775,52.1847,48.4076,31.5486,30.7647,31.3903
-9432740,4774600,7.99,49.8564,40.1737,11.1951,44.2627,35.1511,34.7601,65.0876,77.7359,61.0637,29.1989,30.0368,39.7748,66.8148,40.2759,54.1970,57.7598,73.1753,63.9434,47.3655,77.2308,74.1612,82.3425,93.1398,63.7109,86.0315,76.9534,71.5589,66.9744,52.1903,48.4054,31.5533,30.7642,31.3932
-9432720,4774600,7.99,49.8517,40.1765,11.2053,44.2693,35.1625,34.7670,65.0810,77.7232,61.0651,29.2148,30.0299,39.7884,66.8053,40.2896,54.2026,57.7718,73.1779,63.9540,47.3619,77.2396,74.1991,82.3415,93.1342,63.7669,86.0240,76.9647,71.5549,66.9829,52.1792,48.4117,31.5431,30.7658,31.3873
-9432700,4774600,7.98,49.8407,40.1828,11.2293,44.2851,35.1888,34.7827,65.0653,77.6936,61.0686,29.2525,30.0137,39.8202,66.7833,40.3217,54.2154,57.7999,73.1842,63.9787,47.3533,77.2603,74.2892,82.3393,93.1202,63.8978,86.0065,76.9913,71.5453,67.0024,52.1523,48.4263,31.5188,30.7696,31.3733
-9432680,4774600,7.98,49.8237,40.1925,11.2663,44.3093,35.2294,34.8071,65.0412,77.6481,61.0739,29.3105,29.9888,39.8693,66.7493,40.3713,54.2351,57.8432,73.1939,64.0166,47.3400,77.2922,74.4281,82.3358,93.0986,64.0997,85.9794,77.0323,71.5304,67.0325,52.1110,48.4488,31.4815,30.7754,31.3516
-9432660,4774600,7.97,49.8012,40.2055,11.3153,44.3414,35.2834,34.8396,65.0093,77.5874,61.0809,29.3874,29.9556,39.9344,66.7041,40.4371,54.2616,57.9007,73.2066,64.0673,47.3225,77.3346,74.6118,82.3312,93.0705,64.3680,85.9435,77.0868,71.5109,67.0727,52.0564,48.4788,31.4320,30.7832,31.3231
-9432640,4774600,7.96,49.7736,40.2216,11.3753,44.3808,35.3501,34.8797,64.9701,77.5127,61.0895,29.4817,29.9149,40.0143,66.6484,40.5181,54.2945,57.9714,73.2222,64.1300,47.3011,77.3867,74.8364,82.3254,93.0366,64.6979,85.8993,77.1538,71.4874,67.1224,51.9900,48.5160,31.3714,30.7928,31.2883
-9432620,4774600,7.95,49.7414,40.2406,11.4455,44.4267,35.4286,34.9270,64.9245,77.4249,61.0995,29.5919,29.8672,40.1079,66.5830,40.6128,54.3336,58.0543,73.2403,64.2039,47.2762,77.4477,75.0980,82.3183,92.9978,65.0846,85.8474,77.2324,71.4605,67.1809,51.9130,48.5597,31.3008,30.8042,31.2478
-9433120,4774620,7.64,48.6526,40.7678,13.8483,46.0213,37.7739,36.2859,63.3292,74.7325,61.4477,33.3320,28.3374,43.1861,64.5673,43.6930,55.2909,60.7243,73.9137,66.3003,46.3753,79.4015,84.4274,82.2069,91.1806,77.4556,84.1944,79.7262,70.2375,68.8638,48.9568,49.8070,28.8226,31.1110,29.7454
-9433100,4774620,7.67,48.7600,40.7137,13.6082,45.8628,37.5389,36.1498,63.4881,75.0029,61.4126,32.9584,28.4897,42.8773,64.7697,43.3839,55.1926,60.4577,73.8457,66.0884,46.4657,79.2074,83.5038,82.2187,91.3601,76.2182,84.3589,79.4750,70.3591,68.6952,49.2480,49.6811,29.0694,31.0802,29.8935
