lagoslakeid,sampleyear,value,variable
122324,1990,46.75231977,tn_umol
122517,1990,41.39900071,tn_umol
123328,1990,39.61456103,tn_umol
125242,1990,104.5681656,tn_umol
125428,1990,74.94646681,tn_umol
129083,1990,33.19057816,tn_umol
130135,1990,32.83369022,tn_umol
131352,1990,34.61812991,tn_umol
133407,1990,54.24696645,tn_umol
133439,1990,46.39543183,tn_umol
133500,1990,65.66738044,tn_umol
134511,1990,85.65310493,tn_umol
136303,1990,18.2012848,tn_umol
136466,1990,22.84082798,tn_umol
136468,1990,27.12348323,tn_umol
211,1991,26.56039337,tn_umol
439,1991,172.0199857,tn_umol
483,1991,158.815132,tn_umol
502,1991,64.45396146,tn_umol
505,1991,43.39757316,tn_umol
516,1991,105.7815846,tn_umol
518,1991,158.3868665,tn_umol
565,1991,35.26052819,tn_umol
583,1991,33.61884368,tn_umol
587,1991,19.3433262,tn_umol
604,1991,161.598858,tn_umol
620,1991,55.03211991,tn_umol
633,1991,289.2219843,tn_umol
637,1991,18.98643826,tn_umol
681,1991,115.2748037,tn_umol
721,1991,278.2298358,tn_umol
765,1991,122.7694504,tn_umol
774,1991,115.8458244,tn_umol
808,1991,112.633833,tn_umol
869,1991,203.1406138,tn_umol
873,1991,113.7044968,tn_umol
879,1991,94.14703783,tn_umol
906,1991,10.42112777,tn_umol
918,1991,27.8372591,tn_umol
933,1991,22.34118487,tn_umol
1043,1991,22.05567452,tn_umol
1145,1991,210.206995,tn_umol
1189,1991,26.40970735,tn_umol
1203,1991,37.4732334,tn_umol
1210,1991,138.1870093,tn_umol
1216,1991,98.14418273,tn_umol
1257,1991,37.18772305,tn_umol
1281,1991,83.86866524,tn_umol
1298,1991,215.0606709,tn_umol
1303,1991,460.8137045,tn_umol
1306,1991,87.15203426,tn_umol
1342,1991,14.2041399,tn_umol
1348,1991,130.2640971,tn_umol
1473,1991,297.8586724,tn_umol
1520,1991,26.83797288,tn_umol
1534,1991,491.3157269,tn_umol
1555,1991,153.8187009,tn_umol
1600,1991,137.7587438,tn_umol
1645,1991,45.03925767,tn_umol
1700,1991,95.07494647,tn_umol
1704,1991,254.1755889,tn_umol
1709,1991,343.6830835,tn_umol
1747,1991,27.48037116,tn_umol
1763,1991,48.03711635,tn_umol
1773,1991,130.1927195,tn_umol
1862,1991,90.79229122,tn_umol
1919,1991,430.4068522,tn_umol
1939,1991,34.76088508,tn_umol
1996,1991,48.25124911,tn_umol
2034,1991,107.2805139,tn_umol
2068,1991,27.40899358,tn_umol
2135,1991,50.96359743,tn_umol
2281,1991,160.9564597,tn_umol
2312,1991,275.1605996,tn_umol
2348,1991,172.662384,tn_umol
2352,1991,71.87723055,tn_umol
2368,1991,196.9307637,tn_umol
2430,1991,113.0620985,tn_umol
2611,1991,121.6987866,tn_umol
2706,1991,149.7501784,tn_umol
2717,1991,98.11563169,tn_umol
2721,1991,124.1970021,tn_umol
2783,1991,64.23982869,tn_umol
2860,1991,52.89079229,tn_umol
2881,1991,163.2405425,tn_umol
2898,1991,129.3361884,tn_umol
2907,1991,197.6445396,tn_umol
2961,1991,24.76802284,tn_umol
2998,1991,101.9271949,tn_umol
3123,1991,84.72519629,tn_umol
3157,1991,353.3190578,tn_umol
3176,1991,108.2084226,tn_umol
3180,1991,194.3611706,tn_umol
3195,1991,153.1763026,tn_umol
3221,1991,127.4803712,tn_umol
3430,1991,43.82583869,tn_umol
3661,1991,38.6152748,tn_umol
3708,1991,110.4925054,tn_umol
3825,1991,82.01284797,tn_umol
3845,1991,118.2726624,tn_umol
3847,1991,273.1620271,tn_umol
4002,1991,158.6009993,tn_umol
4011,1991,89.93576017,tn_umol
4037,1991,98.35831549,tn_umol
4058,1991,69.23625981,tn_umol
4068,1991,151.6773733,tn_umol
4180,1991,242.6837973,tn_umol
4239,1991,164.6680942,tn_umol
4274,1991,114.3754461,tn_umol
4335,1991,50.27361409,tn_umol
4467,1991,84.86795146,tn_umol
4552,1991,174.9702593,tn_umol
4559,1991,54.5324768,tn_umol
4625,1991,15.98857959,tn_umol
4664,1991,12.03901975,tn_umol
4688,1991,147.8229836,tn_umol
4722,1991,7.922912206,tn_umol
4911,1991,76.23126338,tn_umol
4989,1991,45.39614561,tn_umol
5002,1991,218.4867951,tn_umol
5248,1991,21.00880324,tn_umol
5286,1991,71.87723055,tn_umol
5293,1991,29.12205567,tn_umol
5371,1991,55.03211991,tn_umol
5400,1991,43.39757316,tn_umol
5429,1991,121.6987866,tn_umol
5723,1991,65.66738044,tn_umol
5724,1991,75.66024268,tn_umol
5726,1991,34.97501784,tn_umol
6059,1991,46.39543183,tn_umol
6060,1991,48.53675946,tn_umol
6061,1991,71.37758744,tn_umol
6063,1991,58.88650964,tn_umol
6064,1991,82.79800143,tn_umol
6068,1991,39.25767309,tn_umol
6070,1991,44.25410421,tn_umol
6071,1991,60.31406138,tn_umol
6075,1991,43.54032834,tn_umol
6076,1991,34.61812991,tn_umol
6181,1991,45.68165596,tn_umol
6185,1991,86.3668808,tn_umol
6188,1991,32.83369022,tn_umol
6189,1991,55.6745182,tn_umol
6190,1991,63.88294076,tn_umol
6191,1991,52.8194147,tn_umol
6192,1991,78.87223412,tn_umol
6199,1991,44.61099215,tn_umol
6201,1991,63.16916488,tn_umol
6202,1991,58.88650964,tn_umol
6207,1991,51.39186296,tn_umol
6208,1991,24.9821556,tn_umol
6213,1991,43.1834404,tn_umol
6217,1991,61.74161313,tn_umol
6218,1991,68.165596,tn_umol
6220,1991,44.25410421,tn_umol
6221,1991,37.11634547,tn_umol
6298,1991,65.66738044,tn_umol
6299,1991,13.56174161,tn_umol
6301,1991,24.26837973,tn_umol
6303,1991,39.97144897,tn_umol
10987,1991,15.3461813,tn_umol
11123,1991,38.90078515,tn_umol
15979,1991,66.38115632,tn_umol
23670,1991,57.45895789,tn_umol
25625,1991,33.90435403,tn_umol
25646,1991,52.10563883,tn_umol
25760,1991,63.16916488,tn_umol
25980,1991,28.31310968,tn_umol
26660,1991,44.96788009,tn_umol
28665,1991,24.62526767,tn_umol
28836,1991,58.5296217,tn_umol
30918,1991,37.83012134,tn_umol
30935,1991,26.40970735,tn_umol
31993,1991,48.53675946,tn_umol
36107,1991,37.11634547,tn_umol
38285,1991,54.60385439,tn_umol
39362,1991,20.34261242,tn_umol
39489,1991,23.91149179,tn_umol
40610,1991,53.29526529,tn_umol
42413,1991,78.15845824,tn_umol
43622,1991,19.98572448,tn_umol
45620,1991,72.44825125,tn_umol
46662,1991,49.25053533,tn_umol
49620,1991,23.55460385,tn_umol
49938,1991,19.48608137,tn_umol
51869,1991,65.31049251,tn_umol
55007,1991,45.32476802,tn_umol
56019,1991,105.2819415,tn_umol
63080,1991,76.37401856,tn_umol
66336,1991,31.04925054,tn_umol
73287,1991,57.10206995,tn_umol
78634,1991,38.90078515,tn_umol
80721,1991,36.04568166,tn_umol
88095,1991,19.98572448,tn_umol
94414,1991,59.60028551,tn_umol
99307,1991,46.0385439,tn_umol
101415,1991,53.53319058,tn_umol
102576,1991,100.6423983,tn_umol
